Source,Target,Weight,Type
一灯大师,上官,1,Directed
一灯大师,丘处机,5,Directed
一灯大师,乔寨主,1,Directed
一灯大师,农夫,17,Directed
一灯大师,华筝,1,Directed
一灯大师,卫璧,2,Directed
一灯大师,吕文德,1,Directed
一灯大师,周伯通,28,Directed
一灯大师,哑巴,1,Directed
一灯大师,哑梢公,1,Directed
一灯大师,大汉,1,Directed
一灯大师,天竺僧,1,Directed
一灯大师,天竺僧人,3,Directed
一灯大师,完颜萍,2,Directed
一灯大师,小沙弥,3,Directed
一灯大师,小龙女,8,Directed
一灯大师,尹克西,1,Directed
一灯大师,尼摩星,3,Directed
一灯大师,张无忌,2,Directed
一灯大师,无色,1,Directed
一灯大师,明月,1,Directed
一灯大师,朱九真,2,Directed
一灯大师,朱子柳,13,Directed
一灯大师,朱长龄,1,Directed
一灯大师,李莫愁,5,Directed
一灯大师,杨康,3,Directed
一灯大师,杨过,36,Directed
一灯大师,柯镇恶,2,Directed
一灯大师,梅超风,1,Directed
一灯大师,欧阳克,3,Directed
一灯大师,武三娘,2,Directed
一灯大师,武三通,14,Directed
一灯大师,武修文,3,Directed
一灯大师,武敦儒,2,Directed
一灯大师,武青婴,2,Directed
一灯大师,汉子,2,Directed
一灯大师,洪七公,11,Directed
一灯大师,渔人,12,Directed
一灯大师,潇湘子,1,Directed
一灯大师,点苍渔隐,3,Directed
一灯大师,王处一,2,Directed
一灯大师,琴儿,1,Directed
一灯大师,穆念慈,1,Directed
一灯大师,老头子,1,Directed
一灯大师,耶律燕,3,Directed
一灯大师,耶律齐,5,Directed
一灯大师,裘千丈,1,Directed
一灯大师,裘千仞,13,Directed
一灯大师,裘千尺,6,Directed
一灯大师,觉远,1,Directed
一灯大师,觉远大师,1,Directed
一灯大师,达尔巴,2,Directed
一灯大师,郝大通,2,Directed
一灯大师,郭芙,4,Directed
一灯大师,郭襄,18,Directed
一灯大师,郭靖,50,Directed
一灯大师,金轮法王,4,Directed
一灯大师,陆乘风,1,Directed
一灯大师,陆无双,7,Directed
一灯大师,霍都,3,Directed
一灯大师,马钰,2,Directed
一灯大师,鲁有脚,4,Directed
一灯大师,黄药师,15,Directed
一灯大师,黄蓉,72,Directed
丁不三,丁不四,27,Directed
丁不三,何足道,1,Directed
丁不三,侍剑,1,Directed
丁不三,史小翠,1,Directed
丁不三,大悲老人,1,Directed
丁不三,大汉,1,Directed
丁不三,孙万年,1,Directed
丁不三,封万里,4,Directed
丁不三,小翠,1,Directed
丁不三,李万山,1,Directed
丁不三,柯万钧,1,Directed
丁不三,汉子,5,Directed
丁不三,白万剑,31,Directed
丁不三,白自在,3,Directed
丁不三,石中玉,1,Directed
丁不三,石清,7,Directed
丁不三,石破天,61,Directed
丁不三,米横野,1,Directed
丁不三,老不死,1,Directed
丁不三,耿万钟,2,Directed
